rna_well	side	det_well
F14	R	F02,F14
F15	R	F03,F15
F16	R	F04,F16
F17	R	F05,F17
F18	R	F06,F18
F19	R	F07,F19
F20	R	F08,F20
F21	R	F09,F21
F22	R	F10,F22
F23	R	F11,F23
F24	R	F12,F24
G13	R	G01,G13
G14	R	G02,G14
G15	R	G03,G15
G16	R	G04,G16
G17	R	G05,G17
G18	R	G06,G18
G19	R	G07,G19
G20	R	G08,G20
G21	R	G09,G21
G22	R	G10,G22
G23	R	G11,G23
G24	R	G12,G24
H13	R	H01,H13
H14	R	H02,H14
H15	R	H03,H15
H16	R	H04,H16
H17	R	H05,H17
H18	R	H06,H18
H19	R	H07,H19
H20	R	H08,H20
H21	R	H09,H21
H22	R	H10,H22
H23	R	H11,H23
H24	R	H12,H24
I13	R	I01,I13
I14	R	I02,I14
I15	R	I03,I15
I16	R	I04,I16
I17	R	I05,I17
I18	R	I06,I18
I19	R	I07,I19
I20	R	I08,I20
I21	R	I09,I21
I22	R	I10,I22
I23	R	I11,I23
I24	R	I12,I24
J13	R	J01,J13
J14	R	J02,J14
J15	R	J03,J15
J16	R	J04,J16
J17	R	J05,J17
J18	R	J06,J18
J19	R	J07,J19
J20	R	J08,J20
J21	R	J09,J21
J22	R	J10,J22
J23	R	J11,J23
J24	R	J12,J24
K13	R	K01,K13
K14	R	K02,K14
K15	R	K03,K15
K16	R	K04,K16
K17	R	K05,K17
K18	R	K06,K18
K19	R	K07,K19
K20	R	K08,K20
K21	R	K09,K21
K22	R	K10,K22
K23	R	K11,K23
K24	R	K12,K24
L13	R	L01,L13
L14	R	L02,L14
L15	R	L03,L15
L16	R	L04,L16
L17	R	L05,L17
L18	R	L06,L18
L19	R	L07,L19
L20	R	L08,L20
L21	R	L09,L21
L22	R	L10,L22
L23	R	L11,L23
L24	R	L12,L24
M13	R	M01,M13
M14	R	M02,M14
M15	R	M03,M15
M16	R	M04,M16
M17	R	M05,M17
M18	R	M06,M18
M19	R	M07,M19
M20	R	M08,M20
M21	R	M09,M21
M22	R	M10,M22
M23	R	M11,M23
M24	R	M12,M24
N13	R	N01,N13
N14	R	N02,N14
N15	R	N03,N15
N16	R	N04,N16
N17	R	N05,N17
N18	R	N06,N18
N19	R	N07,N19
N20	R	N08,N20
N21	R	N09,N21
N22	R	N10,N22
N23	R	N11,N23
N24	R	N12,N24
O13	R	O01,O13
O14	R	O02,O14
O15	R	O03,O15
O16	R	O04,O16
O17	R	O05,O17
O18	R	O06,O18
O19	R	O07,O19
O20	R	O08,O20
O21	R	O09,O21
O22	R	O10,O22
O23	R	O11,O23
O24	R	O12,O24
P13	R	P01,P13
P14	R	P02,P14
P15	R	P03,P15
P16	R	P04,P16
P17	R	P05,P17
P18	R	P06,P18
P19	R	P07,P19
P20	R	P08,P20
P21	R	P09,P21
P22	R	P10,P22
P23	R	P11,P23
P24	R	P12,P24
